"article_id","title","description","link","timestamp","clicks","journal"
"8897","Sex Offender Stigma: An Exploration of Vigilantism Against Sex Offenders",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/01639625.2017.1420459?ai=184&amp;mi=fnpx1z&amp;af=R","2018-01-03 12:45:34","95","Deviant Behavior"
"8898","â€œWeâ€™re A Walking Picket Signâ€: Management of A Stigmatized Religious Identity",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/01639625.2017.1420461?ai=184&amp;mi=fnpx1z&amp;af=R","2018-01-03 12:45:34","45","Deviant Behavior"
"8899","Do Women Really Kill For Honor? Conceptualizing Womenâ€™s Involvement in Honor Killings",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/01639625.2017.1420454?ai=184&amp;mi=fnpx1z&amp;af=R","2018-01-03 12:45:34","64","Deviant Behavior"
"8900","Maternal Negative Emotional Expression and Discipline in Beijing, China: the Moderating Role of Educational Attainment","Publication date: <pubdate>March 2018</pubdate><br><b>Source:</b>Child Abuse &amp;amp; Neglect, Volume 77<br>     Author(s): Feng   Cheng, Yifang   Wang, Xixian   Wu, Zhuqing   Su<br><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><simple-para view=""all"">The current study shows that parental punitive discipline places children at risk of developing internalizing and externalizing problems. Although some studies have analyzed the reasons for the use of discipline methods, little to no research has analyzed the moderating effects. In this study, we examine the relationship between maternal negative emotional expression and mothers&rsquo; use of disciplinary methods (psychological aggression, corporal punishment and physical maltreatment) and the moderating effects of educational attainment in Chinese societies. Five hundred and sixteen mothers with preschool-aged children were recruited to participate in this research. The Chinese versions of the Self-Expressiveness in the Family Questionnaire (SEFQ) and the Parent-Child Conflict Tactics Scales (CTSPC) were used to measure the mothers&rsquo; negative emotional expression and discipline, respectively. The results suggested that the mothers&rsquo; negative emotional expression was positively related to their disciplinary behaviors. Moreover, maternal educational attainment moderated the association between negative emotional expression and discipline. The findings of the current study highlight the importance of considering how mothers&rsquo; educational backgrounds may interact with their emotions to influence maternal disciplinary behaviors.</simple-para></abstract-sec><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0145213417304805%26_version%3D1%26md5%3D1df4fb518295b8e6f4c24d6e7e18edc0","2018-01-03 21:30:16","58","Child Abuse and Neglect"
"8901","Child Maltreatment Re-Offending in Families Served By the United States Air Force Family Advocacy Program","Publication date: <pubdate>March 2018</pubdate><br><b>Source:</b>Child Abuse &amp;amp; Neglect, Volume 77<br>     Author(s): Randy J.   McCarthy, Joel S.   Milner, Sarah L.   Coley, LaJuana   Ormsby, Mark   Oliver<br><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><simple-para view=""all"">The current study examined child maltreatment re-offending in United States Air Force (USAF) families. In a clinical database containing 24,999 child maltreatment incidents perpetrated by 15,042 offenders between the years 1997 and 2013, 13% of offenders maltreated a child on more than one date (i.e., they re-offended). We explored several offender demographic characteristics associated with who re-offended and found that civilians re-offended at a similar rate as active duty members, males re-offended at a similar rate as females, and younger offenders were more likely to re-offend than older offenders. We also explored incident characteristics associated with who re-offended: Re-offending was more likely if the initial maltreatment was neglect or emotional abuse and re-offenders were likely to perpetrate subsequent maltreatment that was the same type and severity as their initial incident. The current data indicate that young offenders and offenders of neglect and emotional maltreatment are the greatest risk of re-offending. These offender and incident characteristics could be used by the USAF to guide their efforts to reduce re-offending.</simple-para></abstract-sec><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0145213417304751%26_version%3D1%26md5%3De507ad213929d72044710ffce24f6933","2018-01-03 21:30:16","65","Child Abuse and Neglect"
"8902","That Door You Just Kicked in Was Locked For Your Protection, Not Mine: Developing and Testing Competing Theoretical Models of Crime Prevention Behavior","Journal of Research in Crime and Delinquency, Ahead of Print. &lt;br/&gt;","http://journals.sagepub.com/doi/abs/10.1177/0022427817751570?ai=2b4&amp;mi=ehikzz&amp;af=R","2018-01-04 01:46:17","69","Journal of Research in Crime and Delinquency"
"8903","Foot Patrols and Crime Prevention in Harare Central Business District: Police Officersâ€™ Perspectives","<h3>Abstract</h3>
                  <p>Despite the advent of modern crime control methods, chiefly brought about by technological advancement, foot patrol has remained as one of the crucial crime prevention methods in both the developed and developing world. This study was aimed at describing the implementation of foot beat patrols in Harare Central Business District (CBD), Zimbabwe. The study also attempted to gauge perceptions from police officers on the effectiveness of foot beat patrols as a crime control strategy. The study revealed that hot spot patrols and high visibility are the most widely used patrol initiatives in Harare CBD. Foot patrols were widely viewed to be effective in reducing specific crimes/problems such as assault, loitering, touts, plain robbery and pick pocketing. It was also felt that reduction in specific crimes within the central business district also lowers the aggregate crime levels for the whole city. Reduction in fear of crime and provision of a reassuring presence were also considered to be the major benefits of foot patrols by community representatives.</p>","http://link.springer.com/10.1057/s41300-017-0038-z","2018-01-04 08:15:21","54","Crime Prevention and Community Safety"
"8904","When A Corporation Rapes: Perceptions of Rape in Civil Court For Corporate Defendants",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/1068316X.2017.1421185?ai=x3&amp;mi=fnpx1z&amp;af=R","2018-01-04 11:01:46","91","Psychology, Crime and Law"
"8905","Parentâ€“child Discordance and Child Trauma Symptomatology Throughout Therapy: Correlates and Treatment Response","<h3>Abstract</h3>
                  <p>Children and their caregivers often disagree when reporting on child behavioural and emotional difficulties. But how does <em>parent&ndash;child discordance</em> relate to outcomes, particularly among children undergoing trauma therapy? This study examined parent&ndash;child discordance in relation to children&rsquo;s trauma symptoms and therapy outcomes. Participants included 96 trauma-exposed children and their caregivers, who received Trauma-Focused Cognitive Behavioural Therapy. Discordance was calculated using absolute difference scores between child- and parent- reported psychological symptoms. Parent&ndash;child discordance, calculated at pre-therapy, post-therapy, and at a six-month follow-up, predicted the severity of children&rsquo;s posttraumatic stress, dissociation, and internalizing and externalizing difficulties at each respective time-point. Pre-therapy discordance predicted improvements in externalizing behaviours after therapy and at follow-up. Improvements in discordance predicted improvements in trauma-specific symptoms over the course of treatment and at follow-up. The findings underscore how changes in parent&ndash;child discordance are related to child trauma symptoms and treatment response. Clinical implications and future directions are discussed.</p>","http://link.springer.com/10.1007/s10896-017-9948-x","2018-01-04 14:16:13","48","Journal of Family Violence"
"8906","Forgiveness As Potentiality in Criminal Justice","<h3>Abstract</h3>
                  <p>To explore the problematic of forgiveness in criminal justice we argue for and utilise the deep homologies that exist between the continental philosophical tradition and approaches to complexity theory (the potential to realise new dynamical states). Through taking a hermeneutical narrative approach we argue that studied together they provide us with new insights into questions of punishment, retribution and rehabilitation and enable us to better understand the connections that exist between victims of crime, perpetrators and the community through examination of the content of dominant narratives that emerge in the historical relationship between theology and law; gain insight into an increased path lock (entropic justice) with respect to retribution in liberal democracies such as the USA and UK based upon decomposition of the Judaeo-Christian message; and examine what contemporary stories of forgiveness reveal with respect to accessing new dynamical states and new ways of doing justice that challenge dominant and reductionist narrative.</p>","http://link.springer.com/10.1007/s10612-017-9383-6","2018-01-04 15:30:46","52","Critical Criminology"
"8907","Effect of Parental Neglect on Smartphone Addiction in Adolescents in South Korea","Publication date: <pubdate>March 2018</pubdate><br><b>Source:</b>Child Abuse &amp;amp; Neglect, Volume 77<br>     Author(s): Ju Yeon   Kwak, Jae Yop   Kim, Yoe Won   Yoon<br><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><simple-para view=""all"">The purpose of this study was to investigate the importance of the relationships with parents, peers, and teachers as a cause of adolescents&rsquo; smartphone addiction, and to examine the effect of parental neglect on smartphone addiction and the mediating effect of relational maladjustment in school, especially focusing on the relational maladjustment with peers and teachers. For this purpose, a survey was conducted of students from middle schools and high schools in four regions of South Korea. A total of 1170 middle-school students who reported using smartphone took part in this study. A multiple mediator model was analyzed using the bootstrapping mediation methods Parental neglect was significantly associated with adolescents&rsquo; smartphone addiction. Furthermore, in the relationship between parental neglect and smartphone addiction, parental neglect was not significantly associated with the relational maladjustment with peers, whereas the relational maladjustment with peers negatively influenced smartphone addiction. On the other hand, the relational maladjustment with teachers had a partial mediation effect between parental neglect and smartphone addiction. Based on the results of this study, some implications are suggested that include the need for (1) a customized program for adolescents who use smartphones addictively, (2) a family therapy program to strengthen family function, (3) an integrated case-management system to prevent the reoccurrence of parental neglect, (4) a program to improve relationships with teachers, and (5) expanding the leisure activity infrastructure to improve relationships with friends off-line.</simple-para></abstract-sec><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0145213417304568%26_version%3D1%26md5%3Db477519f8163e2364be8cd2766506f7d","2018-01-04 21:30:21","67","Child Abuse and Neglect"
"8908","Maximizing Stakeholder Trust As A Tool For Controlling Corruption","<h3>Abstract</h3>
                  <p>Corruption, particularly bribery of government officials, inflicts substantial damage on people, society, and the world, and warrants control. Collective efforts to control corruption tend to focus on rules and compliance with those rules. This paper suggests that collective action also consider the creation of strong ethical cultures in business firms. Implementation of such programs is impeded by the difficulty in prescribing a course of action and by the difficulty in measuring the strength of an ethical culture. This paper suggests the measurement and maximization of stakeholder trust as a proxy for measures of ethical culture. The qualities that engender stakeholder trust correspond with ethical behaviors. Stakeholder trust confers benefits on business firms, which will incentivize and justify its measurement. Implementation of a program focused on ethical culture would benefit from collective action both by normalizing behaviors and in the development of sophisticated measurement tools.</p>","http://link.springer.com/10.1007/s10611-017-9767-2","2018-01-04 22:30:22","68","Crime, Law and Social Change"
"8909","Security Needs of Citizens and Community Policing in Serbia â€“ Is There A Link?","<h3>Abstract</h3>
                  <p>The local community represents a context in which a real quality of social life can be researched. One of the life quality indicators is a degree of satisfying security needs of citizens. Among the resources which the local community engages to solve these needs, the police occupy the key position. Within the model of police engagement in the local community, the concept of <em>community policing</em> has great significance as a qualitatively new system of the police organization and functioning based on the correlation between the citizens&rsquo; expectations and what the police really do. By interviewing 750 respondents in five communities in Serbia, in which this policing strategy is being realized, their security needs are being determined. The research results indicate that the citizens of the researched communities are concerned about the extent and intensity of the different forms of violence and all forms of social behavior which jeopardize the security of their families. They recognize the police as a local community resource in charge of solving their security needs and they point out the necessity of undertaking preventive activities. The following factors are noticed as the limitation factors: lack of interdepartmental cooperation within the police services and insufficient local community involvement in problem solving.</p>","http://link.springer.com/10.1007/s10610-017-9366-x","2018-01-05 01:30:43","83","European Journal on Criminal Policy and Research"
"8910","Advocate Safety Planning Training, Feedback, and Personal Challenges","<h3>Abstract</h3>
                  <p>Of all the advocacy services provided to partner violence and sexual assault victims, safety planning may be most central. However, unlike many community behavioral health or case management services, there is virtually no literature on standards of care in safety planning, ways to measure its effectiveness, or discussion of the challenges advocates face in their day-to-day practice of planning for victim safety. The purpose of this paper is to describe advocate perceptions of training and supervision, how they obtain feedback about their work with victims, and their personal challenges in safety planning with victims. Study results highlight the need for more guidance, training, and support as well as more coping strategies for the numerous personal challenges advocates face in their day-to-day safety planning work. Implications for research and practice are discussed.</p>","http://link.springer.com/10.1007/s10896-017-9949-9","2018-01-05 06:16:06","51","Journal of Family Violence"
"8911","The Securitization and Policing of Art Theft: the Case of London",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/15614263.2017.1415735?ai=x6&amp;mi=fnpx1z&amp;af=R","2018-01-05 11:01:46","57","Police Practice and Research"
"8912","From Solitary to the Streets: the Effect of Restrictive Housing on Recidivism",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/23774657.2017.1416318?ai=1rp3n&amp;mi=fnpx1z&amp;af=R","2018-01-05 12:45:18","58","Corrections: Policy, Practice and Research"
"8913","Measuring the Effect Heterogeneity of Police Enforcement Actions Across Spatial Contexts","Publication date: <pubdate>January&ndash;February 2018</pubdate><br><b>Source:</b>Journal of Criminal Justice, Volume 54<br>     Author(s): Eric L.   Piza, Andrew M.   Gilchrist<br><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><section-title>Purpose</section-title><simple-para view=""all"">This study tests whether the effect of police actions is influenced by similar crime generators and attractors (CGAs) that influence crime. Said differently, in recognition that the presence of CGAs presents higher risk of crime at certain places, we test whether CGAs similarly create a situation where specific police enforcement actions are more effective at certain types of places than others.</simple-para></abstract-sec><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><section-title>Methods</section-title><simple-para view=""all"">Using longitudinal logistic regression models incorporating panel data, we measure the effect of various police enforcement actions on gun violence in Newark, NJ. Risk Terrain Modeling (RTM) was further used to test whether the effect of the enforcement activities vary across spatial contexts.</simple-para></abstract-sec><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><section-title>Results</section-title><simple-para view=""all"">When considered on their own, police enforcement actions were associated with increased likelihood of gun violence. However, certain types of enforcement actions conducted where CGAs highly co-locate, as identified through RTM, were associated with decreased likelihood of gun violence.</simple-para></abstract-sec><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><section-title>Conclusions</section-title><simple-para view=""all"">Findings suggest that where officers conduct enforcement activities may be as important as what precise enforcement activities they enact. This has implications for the place-based policing tactics. Understanding the spatial context of high-crime areas can help police design strategies in a manner that maximizes their crime prevention utility.</simple-para></abstract-sec><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0047235217304361%26_version%3D1%26md5%3D25c2ee3b04ca0476c826b4c633d36574","2018-01-05 19:00:57","70","Journal of Criminal Justice"
"8914","Terrorism Risk Forecasting By Ideology","<h3>Abstract</h3>
                  <p>The purpose of the present study is to produce foresights on terrorism. For the first time in the literature, we test the predictive validity of risk terrain modeling to forecast terrorism. Because the relevant literature suggests that target selection and the places where terrorist attacks occur are related to a group&rsquo;s strategies, we also investigate whether and how violent terrorist acts vary with respect to their surroundings in the same jurisdiction when the ideology is the point of comparison. Separatist and leftist terrorist groups committed 1152 violent terrorist acts between 2008 and 2012 in Istanbul, Turkey. Our analysis begins with a comparison of targets and risk factors by the ideology of the perpetrators for 857 separatist and 295 leftist terrorist incidents. After identifying high-risk locations, we test the predictive validity of risk terrain modeling. The study results showed that context and spatial influence&mdash;the risky areas of terrorism&mdash;vary by the nature of the ideology in the jurisdiction. Practical implications also are discussed.</p>","http://link.springer.com/10.1007/s10610-017-9368-8","2018-01-06 05:45:38","337","European Journal on Criminal Policy and Research"
"8915","Self-Regulatory Investments Among Private Actors in the Era of Regulatory Capitalism: the Licensing of Swedish Finance and Securities Industry Employees","<h3>Abstract</h3>
                  <p>This article analyses the growth of the Swedish finance and securities industry&rsquo;s employee licensing programme to advance our understanding of the growth, conditions, and function of various forms of self-regulation in the era of regulatory capitalism. It examines how the situations that are significant for private actors&rsquo; initiation and implementation of self-regulation are connected with the development of a particular form of self-regulation. The article argues that the licensing programme in question is an example of self-regulation characterized by impersonal trust, identity assurance, and integrity. This type of self-regulation is related to the conditions that characterized the finance and securities industry before and at the time of the initiative and its implementation, in particular, economic confidence, normalization and expansion, and increasing complexity and heterogeneity. The article is based mainly on document analysis and market statistics supplemented with interviews.</p>","http://link.springer.com/10.1007/s10611-017-9766-3","2018-01-06 09:30:22","55","Crime, Law and Social Change"
"8916","Armed, But Too Dangerous? Factors Associated With Citizen Support For the Militarization of the Police",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/1478601X.2017.1420652?ai=ws&amp;mi=fnpx1z&amp;af=R","2018-01-06 10:45:32","73","Criminal Justice Studies"
"8917","The Neural Basis of Reactive Aggression and Its Development in Adolescence",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/1068316X.2017.1420187?ai=x3&amp;mi=fnpx1z&amp;af=R","2018-01-06 10:46:37","52","Psychology, Crime and Law"
"8918","Psychological Inertia Revisited: Replicating and Extending the Differential Effect of Proactive and Reactive Criminal Thinking on Crime Continuity",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/01639625.2017.1419684?ai=184&amp;mi=fnpx1z&amp;af=R","2018-01-06 12:30:39","43","Deviant Behavior"
"8919","Moving Beyond Anger and Depression: the Effects of Anxiety and Envy on Maladaptive Coping",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/01639625.2017.1422457?ai=184&amp;mi=fnpx1z&amp;af=R","2018-01-06 12:30:39","77","Deviant Behavior"
"8920","The Conflicted Juvenile Delinquency Court After Gault: A Qualitative Examination of Actors and Processes in Two Contemporary Courts",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/0098261X.2017.1396941?af=R","2018-01-06 12:31:29","47","Justice System Journal"
"8921","Pakistan's Approach to Countering Violent Extremism (cve): Reframing the Policy Framework For Peacebuilding and Development Strategies",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/1057610X.2017.1415786?ai=1ab&amp;mi=fnpx1z&amp;af=R","2018-01-06 12:46:42","76","Studies in Conflict and Terrorism"
"8922","Cu-Traits and Hpa-Axis Reactivity Conjointly Relate to Treatment Effect in Adolescents With Severe Antisocial Behavior","Publication date: <pubdate>Available online 5 January 2018</pubdate><br><b>Source:</b>Journal of Criminal Justice<br>     Author(s): Tijs   Jambroes, Lucres M.C.   Jansen, Sanne   Oostermeijer, Peter M.v.d.   Ven, Theo A.H.   Doreleijers, Robert R.J.M.   Vermeiren, Arne   Popma<br><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0047235217305238%26_version%3D1%26md5%3D1284959cc6c95f12e33c075c8149f95f","2018-01-06 19:00:57","56","Journal of Criminal Justice"
"8923","How to Introduce Neuroscientific Measures in Judicial Practice? A Perspective Paper","Publication date: <pubdate>Available online 7 January 2018</pubdate><br><b>Source:</b>Journal of Criminal Justice<br>     Author(s): L.J.M.   Cornet<br><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0047235218300011%26_version%3D1%26md5%3D63432bd2334cc92bc24ee743c5941996","2018-01-07 19:00:58","54","Journal of Criminal Justice"
"8924","Why Call Someone By What We Don't Want Them to Be? the Ethics of Labeling in Forensic/correctional Psychology",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/1068316X.2017.1421640?ai=x3&amp;mi=fnpx1z&amp;af=R","2018-01-08 11:01:59","32","Psychology, Crime and Law"
"8925","Assessing Convicted Traffickers: Negotiating Migration, Employment and Opportunity Through Restricted Networks","This article presents a rare insight into convicted â€˜traffickersâ€™ and draws on research undertaken using risk assessment data from criminal justice sources relating to those convicted for trafficking offences in the UK between 2004 and 2008. Analysis of these data identified conflicts between the dominant understanding of trafficking and the group of people ultimately convicted for this activity. It is argued that there is a need to contextualise the response to this group with knowledge of their backgrounds often including the structural barriers experienced through migration. Developing an awareness of these offending pathways is important in understanding the nexus between the movement and exploitation of victims and the structures that control access to employment and income as well as for developing effective interventions for those involved in these offences.","http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111%2Fhojo.12241","2018-01-08 15:00:50","35","Howard Journal of Criminal Justice"
